DATE,RETAIL PRICE
12/1/2025,42.72
11/1/2025,35.09
10/1/2025,30.4
9/1/2025,32.36
8/1/2025,33.28
7/1/2025,32.53
6/1/2025,35.73
5/1/2025,30.49
4/1/2025,33.02
3/1/2025,30.71
2/1/2025,33.31
1/1/2025,34.14
12/1/2024,35.07
11/1/2024,38.69
10/1/2024,43.08
9/1/2024,37.24
8/1/2024,42.94
7/1/2024,50.75
6/1/2024,50.77
5/1/2024,48.06
4/1/2024,48.13
3/1/2024,48.89
2/1/2024,58.38
1/1/2024,52.58
12/1/2023,54.13
11/1/2023,43.01
10/1/2023,47.9
9/1/2023,46.4
8/1/2023,46.6
7/1/2023,53.74
6/1/2023,50.72
5/1/2023,49.03
4/1/2023,52.36
3/1/2023,51.93
2/1/2023,45.14
1/1/2023,52.31
12/1/2022,57.17
11/1/2022,50.66
10/1/2022,50.13
9/1/2022,49.62
8/1/2022,54.97
7/1/2022,45.72
6/1/2022,42.97
5/1/2022,34.32
4/1/2022,27.58
3/1/2022,29.51
2/1/2022,26.54
1/1/2022,54.88
12/1/2021,57.41
11/1/2021,48.37
10/1/2021,44.03
9/1/2021,40.97
8/1/2021,45.28
7/1/2021,43.83
6/1/2021,37.64
5/1/2021,35.85
4/1/2021,34.71
3/1/2021,38.56
2/1/2021,41.63
1/1/2021,36.73
